trn_loss,dev_loss,trn_acc,dev_acc,cur_lr,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0.7802616839713239,0.7033744851748148,0.6440452428476381,0.7154255319148937,4.5e-05,26.278854370117188,False,,,1,4d045_00007,06a81329b9444fdea47882e7ad660175,2023-03-18_16-25-38,1679153138,26.278854370117188,12100,Schenker-Media-Station,127.0.0.1,26.278854370117188,0,1,0.003988742828369141
0.4578555131212194,0.6936884447932243,0.8469727212242182,0.7287234042553191,4e-05,8.378961324691772,False,,,2,4d045_00007,06a81329b9444fdea47882e7ad660175,2023-03-18_16-25-46,1679153146,34.65781569480896,12100,Schenker-Media-Station,127.0.0.1,34.65781569480896,0,2,0.003988742828369141
0.3271639491332338,1.0979399308562279,0.8749168330006654,0.7978723404255319,3.5e-05,8.150410652160645,False,,,3,4d045_00007,06a81329b9444fdea47882e7ad660175,2023-03-18_16-25-54,1679153154,42.808226346969604,12100,Schenker-Media-Station,127.0.0.1,42.808226346969604,0,3,0.003988742828369141
0.19801550786545935,1.2349347273508708,0.9248170326014638,0.7845744680851063,3e-05,8.525253534317017,False,,,4,4d045_00007,06a81329b9444fdea47882e7ad660175,2023-03-18_16-26-03,1679153163,51.33347988128662,12100,Schenker-Media-Station,127.0.0.1,51.33347988128662,0,4,0.003988742828369141
0.14389977207843294,1.1879709561665852,0.9367930805056554,0.7792553191489362,2.5e-05,8.374748468399048,False,,,5,4d045_00007,06a81329b9444fdea47882e7ad660175,2023-03-18_16-26-11,1679153171,59.70822834968567,12100,Schenker-Media-Station,127.0.0.1,59.70822834968567,0,5,0.003988742828369141
0.1115236684204416,1.4904775694012642,0.9441117764471058,0.800531914893617,2e-05,8.332667589187622,False,,,6,4d045_00007,06a81329b9444fdea47882e7ad660175,2023-03-18_16-26-20,1679153180,68.04089593887329,12100,Schenker-Media-Station,127.0.0.1,68.04089593887329,0,6,0.003988742828369141
0.09124056927542737,1.5017649829387665,0.9560878243512974,0.7925531914893617,1.5e-05,8.30897569656372,False,,,7,4d045_00007,06a81329b9444fdea47882e7ad660175,2023-03-18_16-26-28,1679153188,76.34987163543701,12100,Schenker-Media-Station,127.0.0.1,76.34987163543701,0,7,0.003988742828369141
0.07115141040784248,1.6409250696500142,0.9607451763140386,0.8138297872340425,1e-05,8.408068418502808,False,,,8,4d045_00007,06a81329b9444fdea47882e7ad660175,2023-03-18_16-26-36,1679153196,84.75794005393982,12100,Schenker-Media-Station,127.0.0.1,84.75794005393982,0,8,0.003988742828369141
0.06488673002558186,1.7291158114870389,0.9673985362608117,0.8164893617021277,5e-06,8.496015787124634,False,,,9,4d045_00007,06a81329b9444fdea47882e7ad660175,2023-03-18_16-26-45,1679153205,93.25395584106445,12100,Schenker-Media-Station,127.0.0.1,93.25395584106445,0,9,0.003988742828369141
0.05564534184622004,1.8169532616933186,0.9707252162341983,0.8218085106382979,0.0,8.346750020980835,False,,,10,4d045_00007,06a81329b9444fdea47882e7ad660175,2023-03-18_16-26-53,1679153213,101.60070586204529,12100,Schenker-Media-Station,127.0.0.1,101.60070586204529,0,10,0.003988742828369141
