trn_loss,dev_loss,trn_acc,dev_acc,cur_lr,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0.6238188280704173,0.5904728844761848,0.6227544910179641,0.7021276595744681,9.938441702975689e-06,25.859904289245605,False,,,1,3dacb_00008,229cb24dd46c48f09bec6edd6d1f5765,2023-04-16_19-16-17,1681665377,25.859904289245605,25684,Schenker-Media-Station,127.0.0.1,25.859904289245605,0,1,0.0039899349212646484
0.5735957349868531,0.48517004897197086,0.7079174983366601,0.776595744680851,9.755282581475769e-06,9.990768671035767,False,,,2,3dacb_00008,229cb24dd46c48f09bec6edd6d1f5765,2023-04-16_19-16-27,1681665387,35.85067296028137,25684,Schenker-Media-Station,127.0.0.1,35.85067296028137,0,2,0.0039899349212646484
0.4239370176132689,0.38067815576990444,0.8369926813040586,0.8643617021276596,9.45503262094184e-06,10.009386539459229,False,,,3,3dacb_00008,229cb24dd46c48f09bec6edd6d1f5765,2023-04-16_19-16-37,1681665397,45.8600594997406,25684,Schenker-Media-Station,127.0.0.1,45.8600594997406,0,3,0.0039899349212646484
0.3311508504000116,0.35836798201004666,0.8815701929474384,0.8617021276595744,9.045084971874738e-06,10.038533449172974,False,,,4,3dacb_00008,229cb24dd46c48f09bec6edd6d1f5765,2023-04-16_19-16-47,1681665407,55.898592948913574,25684,Schenker-Media-Station,127.0.0.1,55.898592948913574,0,4,0.0039899349212646484
0.2820010811407515,0.33448901275793713,0.9015302727877578,0.8723404255319149,8.535533905932739e-06,10.056101322174072,False,,,5,3dacb_00008,229cb24dd46c48f09bec6edd6d1f5765,2023-04-16_19-16-57,1681665417,65.95469427108765,25684,Schenker-Media-Station,127.0.0.1,65.95469427108765,0,5,0.0039899349212646484
0.2403376931522755,0.3379463851451874,0.9228210246174318,0.8829787234042553,7.938926261462366e-06,10.1376793384552,False,,,6,3dacb_00008,229cb24dd46c48f09bec6edd6d1f5765,2023-04-16_19-17-07,1681665427,76.09237360954285,25684,Schenker-Media-Station,127.0.0.1,76.09237360954285,0,6,0.0039899349212646484
0.21392081265753887,0.3331458028405905,0.9248170326014638,0.898936170212766,7.269952498697734e-06,10.002244710922241,False,,,7,3dacb_00008,229cb24dd46c48f09bec6edd6d1f5765,2023-04-16_19-17-17,1681665437,86.09461832046509,25684,Schenker-Media-Station,127.0.0.1,86.09461832046509,0,7,0.0039899349212646484
0.17315228441928296,0.31752488762140274,0.9500998003992016,0.8670212765957447,6.545084971874738e-06,10.050639390945435,False,,,8,3dacb_00008,229cb24dd46c48f09bec6edd6d1f5765,2023-04-16_19-17-27,1681665447,96.14525771141052,25684,Schenker-Media-Station,127.0.0.1,96.14525771141052,0,8,0.0039899349212646484
0.14998281247755316,0.2938687764108181,0.9534264803725881,0.8643617021276596,5.782172325201155e-06,10.056128025054932,False,,,9,3dacb_00008,229cb24dd46c48f09bec6edd6d1f5765,2023-04-16_19-17-37,1681665457,106.20138573646545,25684,Schenker-Media-Station,127.0.0.1,106.20138573646545,0,9,0.0039899349212646484
0.13115028030377754,0.33732515076796216,0.9627411842980705,0.8617021276595744,5e-06,10.016116619110107,False,,,10,3dacb_00008,229cb24dd46c48f09bec6edd6d1f5765,2023-04-16_19-17-47,1681665467,116.21750235557556,25684,Schenker-Media-Station,127.0.0.1,116.21750235557556,0,10,0.0039899349212646484
0.10300790225254729,0.33834902197122574,0.9767132401862941,0.8829787234042553,4.217827674798845e-06,10.074081897735596,False,,,11,3dacb_00008,229cb24dd46c48f09bec6edd6d1f5765,2023-04-16_19-17-57,1681665477,126.29158425331116,25684,Schenker-Media-Station,127.0.0.1,126.29158425331116,0,11,0.0039899349212646484
0.09786784359590804,0.3421175107359886,0.9780439121756487,0.8776595744680851,3.4549150281252635e-06,10.170842170715332,False,,,12,3dacb_00008,229cb24dd46c48f09bec6edd6d1f5765,2023-04-16_19-18-08,1681665488,136.4624264240265,25684,Schenker-Media-Station,127.0.0.1,136.4624264240265,0,12,0.0039899349212646484
0.08922266001079945,0.3400007908542951,0.9800399201596807,0.8909574468085106,2.7300475013022666e-06,10.020166397094727,False,,,13,3dacb_00008,229cb24dd46c48f09bec6edd6d1f5765,2023-04-16_19-18-18,1681665498,146.48259282112122,25684,Schenker-Media-Station,127.0.0.1,146.48259282112122,0,13,0.0039899349212646484
0.07691403212858007,0.34008120372891426,0.9853626081170991,0.8962765957446809,2.061073738537635e-06,10.111328125,False,,,14,3dacb_00008,229cb24dd46c48f09bec6edd6d1f5765,2023-04-16_19-18-28,1681665508,156.59392094612122,25684,Schenker-Media-Station,127.0.0.1,156.59392094612122,0,14,0.0039899349212646484
0.08072837275710512,0.35107412685950595,0.9813705921490352,0.8856382978723404,1.4644660940672628e-06,10.137725353240967,False,,,15,3dacb_00008,229cb24dd46c48f09bec6edd6d1f5765,2023-04-16_19-18-38,1681665518,166.73164629936218,25684,Schenker-Media-Station,127.0.0.1,166.73164629936218,0,15,0.0039899349212646484
0.07263486899752566,0.3621027072270711,0.9853626081170991,0.8909574468085106,9.549150281252633e-07,10.143040418624878,False,,,16,3dacb_00008,229cb24dd46c48f09bec6edd6d1f5765,2023-04-16_19-18-48,1681665528,176.87468671798706,25684,Schenker-Media-Station,127.0.0.1,176.87468671798706,0,16,0.0039899349212646484
