trn_loss,dev_loss,trn_acc,dev_acc,cur_lr,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0.40917769917532015,0.2954823135545379,0.7538256819693946,0.8297872340425532,4.877641290737884e-05,26.63198733329773,False,,,1,183fb_00008,bcd9ebc4c0014884b6c5fe343f11b074,2023-03-17_12-52-16,1679053936,26.63198733329773,16940,Schenker-Media-Station,127.0.0.1,26.63198733329773,0,1,0.0029926300048828125
0.24379280435019418,0.2887202054262161,0.8702594810379242,0.8218085106382979,4.522542485937369e-05,9.096475601196289,False,,,2,183fb_00008,bcd9ebc4c0014884b6c5fe343f11b074,2023-03-17_12-52-25,1679053945,35.72846293449402,16940,Schenker-Media-Station,127.0.0.1,35.72846293449402,0,2,0.0029926300048828125
0.1799926269603403,0.3224468721370948,0.8995342648037259,0.8297872340425532,3.969463130731183e-05,9.068474292755127,False,,,3,183fb_00008,bcd9ebc4c0014884b6c5fe343f11b074,2023-03-17_12-52-34,1679053954,44.796937227249146,16940,Schenker-Media-Station,127.0.0.1,44.796937227249146,0,3,0.0029926300048828125
0.14564525124028718,0.34890514720035226,0.9181636726546906,0.8377659574468085,3.272542485937369e-05,8.99159860610962,False,,,4,183fb_00008,bcd9ebc4c0014884b6c5fe343f11b074,2023-03-17_12-52-43,1679053963,53.788535833358765,16940,Schenker-Media-Station,127.0.0.1,53.788535833358765,0,4,0.0029926300048828125
0.1259781879887573,0.3180935476955615,0.9221556886227545,0.8085106382978723,2.5e-05,9.042741775512695,False,,,5,183fb_00008,bcd9ebc4c0014884b6c5fe343f11b074,2023-03-17_12-52-52,1679053972,62.83127760887146,16940,Schenker-Media-Station,127.0.0.1,62.83127760887146,0,5,0.0029926300048828125
0.09363439545574549,0.40411311172341047,0.9401197604790419,0.8271276595744681,1.7274575140626318e-05,9.08259654045105,False,,,6,183fb_00008,bcd9ebc4c0014884b6c5fe343f11b074,2023-03-17_12-53-01,1679053981,71.91387414932251,16940,Schenker-Media-Station,127.0.0.1,71.91387414932251,0,6,0.0029926300048828125
0.0780717956612965,0.3970771063315241,0.9614105123087159,0.8271276595744681,1.0305368692688174e-05,9.139119386672974,False,,,7,183fb_00008,bcd9ebc4c0014884b6c5fe343f11b074,2023-03-17_12-53-11,1679053991,81.05299353599548,16940,Schenker-Media-Station,127.0.0.1,81.05299353599548,0,7,0.0029926300048828125
0.0649852115219753,0.421036350099664,0.9727212242182302,0.824468085106383,4.7745751406263165e-06,9.178751230239868,False,,,8,183fb_00008,bcd9ebc4c0014884b6c5fe343f11b074,2023-03-17_12-53-20,1679054000,90.23174476623535,16940,Schenker-Media-Station,127.0.0.1,90.23174476623535,0,8,0.0029926300048828125
0.052842248577354964,0.432247466946903,0.9773785761809713,0.8271276595744681,1.2235870926211619e-06,9.011070966720581,False,,,9,183fb_00008,bcd9ebc4c0014884b6c5fe343f11b074,2023-03-17_12-53-29,1679054009,99.24281573295593,16940,Schenker-Media-Station,127.0.0.1,99.24281573295593,0,9,0.0029926300048828125
0.051983591849229446,0.4366627955122998,0.978709248170326,0.8218085106382979,0.0,9.10497522354126,False,,,10,183fb_00008,bcd9ebc4c0014884b6c5fe343f11b074,2023-03-17_12-53-38,1679054018,108.34779095649719,16940,Schenker-Media-Station,127.0.0.1,108.34779095649719,0,10,0.0029926300048828125
